base,feature,steerage,question,mean_score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,7,6.897759424181024,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,8,6.9883999510009795,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,0,1.7338383587105082,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,1,1.0184710157105819,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,2,2.470011026804626,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,3,1.0245986806386056,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,4,2.286121006869087,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,5,1.0027559124316092,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,6,5.791948967974226,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,7,4.673005034794147,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.5,8,6.62316951229752,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,0,1.9707539623588788,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,1,1.0544400325415548,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,2,3.204649073359687,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,3,1.053729953729892,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,4,2.572845680036141,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,5,1.0068960394691933,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,6,6.013256032013461,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,7,4.765817225369642,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.3,8,6.627571235689118,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,0,2.0975548870749403,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,1,1.1205649959923636,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,2,3.6431062345018574,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,3,1.0926868410152841,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,4,2.8472633102090996,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,5,1.0103460608518198,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,6,6.067241356179281,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,7,4.81458893997319,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.2,8,6.615287498182313,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,0,2.3362033432690934,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,1,1.1874566763791774,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,2,4.111544161415416,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,3,1.1456410811106539,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,4,3.082093943512476,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,5,1.0169359396569144,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,6,6.158641076742562,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,7,4.781742276191966,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,-0.1,8,6.565710650010029,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,0,2.4893327609375597,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,1,1.2896268654824001,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,2,4.455773655925545,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,3,1.215269238380271,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,4,3.596951467266684,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,5,1.0296054437163156,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,6,6.184293286239697,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,7,4.682197639971171,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.0,8,6.51859562000638,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,0,2.731500807779059,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,1,1.4854583027503037,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,2,4.888418947553063,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,3,1.3193318417809992,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,4,4.0573665298418895,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,5,1.0481784564261376,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,6,6.231678992220525,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,7,4.6920793677933315,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.1,8,6.486522938598615,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,0,3.001387161447374,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,1,1.6866667309907268,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,2,5.1876851930984245,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,3,1.4381318688082663,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,4,4.570542729759903,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,5,1.0984864436395816,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,6,6.202629577515763,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,7,4.728482076041588,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.2,8,6.446540439505747,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,0,3.39080347364416,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,1,2.0442747596289235,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,2,5.474338857022501,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,3,1.6824413244335783,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,4,5.030670379226223,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,5,1.1805049261457687,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,6,6.224245731893754,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,7,4.74230587344464,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.3,8,6.39651615194105,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,0,4.5773452982975185,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,1,2.8901283432643927,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,2,5.816549484972655,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,3,2.218297436483949,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,4,5.731403823210801,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,5,1.9552063969065607,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,6,6.218068773233736,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,7,4.878359374044116,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Ethical principles and moral behavior guidance,0.5,8,6.4041959224409375,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,0,1.99580546306778,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,1,1.7896595951976142,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,2,4.221070006885825,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,3,1.729892201294928,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,4,2.856541071361714,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,5,1.5305541200852097,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,6,5.854507125071288,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,7,4.593451674188092,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.5,8,5.8817909722953665,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,0,1.9914303444697896,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,1,1.3746268332204776,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,2,3.67569276414388,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,3,1.3267809217060254,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,4,2.6867481426527036,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,5,1.0754950642386423,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,6,5.840079795812841,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,7,4.495954380391281,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.3,8,5.9908885597355575,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,0,2.0893753581782373,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,1,1.3319331467053157,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,2,3.835553347642589,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,3,1.2808766172764519,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,4,2.8848152253460237,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,5,1.0412012064697973,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,6,5.920222534046719,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,7,4.55233583158542,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.2,8,6.127770072492332,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,0,2.264225940450828,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,1,1.3004944083423273,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,2,4.057672971316794,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,3,1.2306001383082577,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,4,3.169141157854949,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,5,1.0279575730934176,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,6,6.037005036341493,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,7,4.6021959364993705,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",-0.1,8,6.3481435022244055,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,0,2.4893327609375597,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,1,1.2896268654824001,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,2,4.455773655925545,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,3,1.215269238380271,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,4,3.596951467266684,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,5,1.0296054437163156,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,6,6.184293286239697,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,7,4.682197639971171,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.0,8,6.51859562000638,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,0,2.8419559664467204,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,1,1.375674938015955,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,2,5.010793368397417,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,3,1.2940877372354216,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,4,4.102717463450476,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,5,1.0344726532428372,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,6,6.365768205158909,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,7,4.924303075050884,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.1,8,6.692977540838773,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,0,3.2466279361118944,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,1,1.6562900110675494,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,2,5.648019861409398,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,3,1.4223007593383377,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,4,4.9353104287195855,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,5,1.0453357819049711,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,6,6.505237999674228,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,7,5.226802659868976,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.2,8,6.839183016616483,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,0,4.148182759919365,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,1,2.409811341002488,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,2,6.271009227947922,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,3,1.730831001042432,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,4,6.024863715446276,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,5,1.1031743082503285,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,6,6.657336805481658,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,7,5.8977624332833045,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.3,8,6.936291401246509,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,0,6.755960419837935,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,1,6.124718411534832,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,2,6.695541639482429,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,3,5.3645909876609705,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,4,6.966573872973467,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,5,5.071202931647418,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,6,6.922152140170807,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,7,6.751504715913909,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Moral and ethical goodness, virtue, and positive qualities",0.5,8,6.994243213873317,7
